event_id,user_id,event_type,description,category,direction,amount,currency,event_date,settlement_date,status,linked_event_id,flexibility,minimum_allowed_amount
ev_01,user_a,expense,Bulk pantry shop,groceries,debit,1000,INR,2024-01-01,2024-01-01,settled,,fixed,
ev_02,user_a,expense,Supermarket basket,groceries,debit,1100,INR,2024-01-08,2024-01-08,settled,,fixed,
ev_03,user_a,expense,Weekly produce market,groceries,debit,1200,INR,2024-01-15,2024-01-15,settled,,fixed,
ev_04,user_a,expense,Bulk pantry shop,groceries,debit,1050,INR,2024-01-22,2024-01-22,settled,,fixed,
ev_05,user_a,expense,Neighbourhood grocer,groceries,debit,1150,INR,2024-01-29,2024-01-29,settled,,fixed,
ev_06,user_a,expense,Supermarket basket,groceries,debit,1300,INR,2024-02-05,2024-02-05,settled,,fixed,
ev_07,user_a,expense,Weekly produce market,groceries,debit,1250,INR,2024-02-12,2024-02-12,settled,,fixed,
ev_08,user_a,expense,Bulk pantry shop,groceries,debit,1000,INR,2024-02-19,2024-02-19,settled,,fixed,
ev_09,user_a,expense,Supermarket basket,groceries,debit,1400,INR,2024-02-26,2024-02-26,settled,,fixed,
ev_16,user_a,expense,Neighbourhood grocer,groceries,debit,1150,INR,2024-03-04,2024-03-04,settled,,fixed,
ev_17,user_a,expense,Grocery delivery,groceries,debit,1050,INR,2024-03-11,2024-03-11,settled,,fixed,
ev_18,user_a,expense,Supermarket basket,groceries,debit,1350,INR,2024-03-18,2024-03-18,settled,,fixed,
ev_10,user_a,expense,Landlord standing order,rent,debit,20000,INR,2024-01-03,2024-01-03,settled,,fixed,
ev_11,user_a,expense,Landlord standing order,rent,debit,20000,INR,2024-02-03,2024-02-03,settled,,fixed,
ev_12,user_a,expense,Landlord standing order,rent,debit,20000,INR,2024-03-03,2024-03-03,settled,,fixed,
ev_20,user_a,income,Payroll credit,salary,credit,60000,INR,2024-01-15,2024-01-15,settled,,fixed,
ev_21,user_a,income,Payroll credit,salary,credit,60000,INR,2024-02-15,2024-02-15,settled,,fixed,
ev_22,user_a,income,Payroll credit,salary,credit,60000,INR,2024-03-15,2024-03-15,settled,,fixed,
ev_23,user_a,income,Promotion arrears payment,salary,credit,5000,INR,2024-03-18,2024-03-18,settled,,fixed,
ev_24,user_a,income,Lottery prize,windfall,credit,9000,INR,2024-03-19,2024-03-19,settled,,fixed,
ev_30,user_a,subscription,Video streaming plan,streaming,debit,500,INR,2024-01-05,2024-01-05,settled,,reducible_or_stoppable,250
ev_31,user_a,subscription,Video streaming plan,streaming,debit,500,INR,2024-02-05,2024-02-05,settled,,reducible_or_stoppable,250
ev_32,user_a,subscription,Video streaming plan,streaming,debit,500,INR,2024-03-05,2024-03-05,settled,,reducible_or_stoppable,250
ev_35,user_a,subscription,Music streaming plan,streaming,debit,300,INR,2024-01-20,2024-01-20,settled,,stoppable,
ev_36,user_a,subscription,Music streaming plan,streaming,debit,300,INR,2024-02-20,2024-02-20,settled,,stoppable,
ev_37,user_a,subscription,Music streaming plan,streaming,debit,300,INR,2024-03-20,2024-03-20,settled,,stoppable,
ev_40,user_a,expense,Overseas software purchase,software,debit,100,USD,2024-02-20,2024-02-20,settled,,fixed,
ev_41,user_a,expense,Overseas software purchase,software,debit,100,USD,2024-01-05,2024-01-05,settled,,fixed,
ev_50,user_a,income,March net salary,salary,credit,,INR,2024-03-25,2024-03-25,settled,,fixed,
ev_60,user_a,expense,Card authorization,shopping,debit,900,INR,2024-02-01,2024-02-02,cancelled,,fixed,
ev_61,user_a,debt_payment,Failed bill payment attempt,utilities,debit,1500,INR,2024-02-06,2024-02-06,failed,,fixed,
ev_62,user_a,debt_payment,Scheduled bill payment retry,utilities,debit,1500,INR,2024-02-08,2024-02-12,scheduled,ev_61,fixed,
ev_63,user_a,investment_valuation,Current portfolio valuation,investment,non_cash,5000,INR,2024-03-01,,unrealized,ev_64,fixed,
ev_64,user_a,investment_purchase,Investment contribution,investment,debit,4000,INR,2024-01-10,2024-01-10,settled,,fixed,
ev_65,user_a,expense,Purchase awaiting refund,shopping,debit,700,INR,2024-02-15,2024-02-16,settled,,fixed,
ev_66,user_a,refund,Pending merchant refund,shopping,credit,700,INR,2024-03-05,2024-03-15,pending,ev_65,fixed,
ev_67,user_a,expense,Original card charge,shopping,debit,450,INR,2024-03-02,2024-03-03,settled,,fixed,
ev_68,user_a,expense,Possible duplicate card charge,shopping,debit,450,INR,2024-03-06,2024-03-10,pending,ev_67,fixed,
ev_69,user_a,expense,Pending pharmacy card charge,healthcare,debit,300,INR,2024-03-08,2024-03-12,pending,,fixed,
ev_71,user_a,expense,Card charge later reversed,shopping,debit,583,INR,2024-03-07,2024-03-08,settled,,fixed,
ev_72,user_a,refund,Settled card charge reversal,shopping,credit,583,INR,2024-03-09,2024-03-10,settled,ev_71,fixed,
ev_80,user_a,expense,Takeaway order,dining,debit,250,INR,2024-03-11,2024-03-11,settled,,reducible,125
ev_81,user_a,expense,Takeaway order,dining,debit,250,INR,2024-03-11,2024-03-11,settled,,reducible,125
ev_90,user_a,expense,Row with a bad status,shopping,debit,120,INR,2024-03-12,2024-03-12,bogus_status,,fixed,
ev_91,user_a,expense,Row with a bad date,shopping,debit,120,INR,not-a-date,,settled,,fixed,
ev_92,user_a,expense,Row with a bad direction,shopping,sideways,120,INR,2024-03-13,2024-03-13,settled,,fixed,
ev_95,user_b,expense,Overseas hotel deposit,travel,debit,50,EUR,2024-02-20,2024-02-20,settled,,fixed,
